CAL_DT,MODEL_NAME,BRAND_FULL_NAME,BRAND_NAME,VENDOR_NAME,OS_NAME,DEVICE_TYPE,_2G_FLG,_3G_FLG,_4G_FLG,WIFI_FLG,BLUETOOTH_FLG,TOUCH_SCREEN_FLG,DUAL_SIM_FLG,GENDER_TYPE_CD,AGE_B,NATIONALITY_CD,NATIONALITY_NAME,SAUDI_NON_SAUDI,DEVICE_COUNT,DEVICE_COUNT_processed,Z_FLAG_COUNT
11/30/2018,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,SAU,Saudi Arabia,Saudi,9,9.0,1
6/30/2020,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,EGY,Egypt,Non-Saudi,2,2.0,1
7/31/2019,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,SYR,Syria,Non-Saudi,1,1.0,1
3/31/2020,7070 prism,nokia 7070 prism,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,PHL,Philippines,Non-Saudi,1,1.0,1
3/31/2019,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,MLI,Mali,Non-Saudi,1,1.0,1
1/31/2019,6085h,nokia 6085h,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,YEM,Yemen,Non-Saudi,1,1.0,1
5/31/2019,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,,IND,India,Non-Saudi,1,1.0,1
1/31/2019,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,,SAU,Saudi Arabia,Saudi,5,5.0,1
3/31/2019,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,PHL,Philippines,Non-Saudi,6,6.0,1
10/31/2019,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,JOR,Jordan,Non-Saudi,1,1.0,1
5/31/2020,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,,SAU,Saudi Arabia,Saudi,20,3.0,1
11/30/2018,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,ERI,Eritrea,Non-Saudi,1,1.0,1
10/31/2019,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,MLI,Mali,Non-Saudi,1,1.0,1
,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,ETH,Ethiopia,Non-Saudi,1,1.0,1
10/31/2020,7610 supernova,nokia 7610 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,YEM,Yemen,Non-Saudi,,,1
12/31/2019,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,JOR,Jordan,Non-Saudi,1,1.0,1
2/28/2019,7310 supernova,nokia 7310 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,KEN,Kenya,Non-Saudi,1,1.0,1
8/31/2020,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,ETH,Ethiopia,Non-Saudi,1,1.0,1
4/30/2019,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,YEM,Yemen,Non-Saudi,1,1.0,1
4/30/2019,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,KWT,Kuwait,Non-Saudi,1,1.0,1
12/31/2018,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,,,,,1,1.0,1
1/31/2020,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,UGA,Uganda,Non-Saudi,1,1.0,1
11/30/2018,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,NER,Niger,Non-Saudi,1,1.0,1
4/30/2020,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,TUR,Turkey,Non-Saudi,1,1.0,1
6/30/2020,7020,nokia 7020,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,SAU,Saudi Arabia,Saudi,3,3.0,1
4/30/2019,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,SAU,Saudi Arabia,Saudi,107,17.5,1
10/31/2019,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,18-25,SAU,Saudi Arabia,Saudi,3,3.0,1
10/31/2020,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,IDN,Indonesia,Non-Saudi,1,1.0,1
10/31/2020,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,PHL,Philippines,Non-Saudi,1,1.0,1
3/31/2020,7020,nokia 7020,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,,SAU,Saudi Arabia,Saudi,,,1
12/31/2019,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,,SAU,Saudi Arabia,Saudi,10,10.0,1
12/31/2019,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,36-55,EGY,Egypt,Non-Saudi,1,1.0,1
6/30/2020,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,,PHL,Pak,Non-Saudi,1,1.0,1
1/31/2019,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,,ERI,Eritrea,Non-Saudi,1,1.0,1
2/29/2020,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,ETH,Ethiopia,Non-Saudi,1,1.0,1
3/31/2020,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,>55,MAR,Morocco,Non-Saudi,2,2.0,1
12/31/2018,6131,nokia 6131,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Female,26-35,SAU,Saudi Arabia,Saudi,1,1.0,1
